event_names,rows,mean_weekly_units
No event,1550547,14.670279585204447
SuperBowl,64825,15.18636328576938
StPatricksDay,60192,14.189211190855927
MartinLutherKingDay,58733,13.257657534946283
OrthodoxChristmas,58391,15.336952612560156
Thanksgiving,57602,12.319068782333947
Halloween,57420,14.004249390456287
LaborDay,56255,16.571913607679317
Eid al-Fitr,55836,15.76110394727416
IndependenceDay,55126,16.63356673801836
NewYear,50475,13.55554234769688
VeteransDay,49933,14.071075240822703
MemorialDay,47463,13.712913216610835
ColumbusDay,44954,15.339680562352628
Christmas,44272,12.223278821828695
Ramadan starts,41091,16.027402594242048
ValentinesDay,40490,15.671227463571253
NBAFinalsStart,38548,14.657647608176818
EidAlAdha,37719,13.169967390439831
Chanukah End,36451,14.510082027927902
Cinco De Mayo | Mother's day,33875,13.796014760147601
Easter,33354,15.558044012712118
Pesach End,30619,14.458734772526862
NBAFinalsEnd,27411,17.32724088869432
LentStart | ValentinesDay,24899,15.68199526085385
OrthodoxEaster | Pesach End,22554,15.09967189855458
Purim End,22307,15.521316178777962
LentWeek2,22194,13.833198161665315
LentStart | PresidentsDay,22071,13.515925875583344
Mother's day,20017,17.380376679822152
Easter | OrthodoxEaster,19632,15.213376120619397
LentStart,18954,16.204336815447927
PresidentsDay,18611,14.700929557788404
Father's day,18303,16.88816041086161
Easter | Purim End,14370,13.609255393180236
LentWeek2 | PresidentsDay,14370,13.824425887265136
Father's day | NBAFinalsEnd | Ramadan starts,14255,12.571939670291126
Chanukah End | Christmas,13760,9.433938953488372
Father's day | NBAFinalsEnd,13141,14.65938665246176
LentWeek2 | Purim End,12637,14.700166178681648
ColumbusDay | EidAlAdha,11900,14.493529411764706
Cinco De Mayo | OrthodoxEaster,11058,14.661964188822571
LentWeek2 | PresidentsDay | Purim End,10599,15.159354656099632
Father's day | NBAFinalsStart,9082,21.466857520369963
Cinco De Mayo,8875,19.356507042253522
Chanukah End | NewYear,7711,17.58254441706653
EidAlAdha | VeteransDay,7570,19.870673712021137
MemorialDay | NBAFinalsStart,7023,17.466894489534386
LentWeek2 | Purim End | StPatricksDay,6427,19.127431149836628
