store_id,state_id,rows,total_units,mean_weekly_units,maximum_weekly_units,zero_demand_weeks,outlier_weeks,zero_demand_pct,outlier_week_pct
CA_3,CA,311472,7397764,23.75097601068475,3976,42098,4795,13.515821646889608,1.5394642215030565
CA_1,CA,311794,5289784,16.965637568394516,1697,59165,2350,18.975669833287363,0.7537027652873372
WI_2,WI,295468,4653836,15.750727659171213,1161,64770,2691,21.92115559045311,0.9107585254579176
TX_2,TX,314112,4937620,15.719297575387124,2076,63949,2593,20.358661878565606,0.8255017318663407
WI_3,WI,310726,4643790,14.944967592026416,1695,71125,2900,22.889941620591774,0.9332981469204379
CA_2,CA,253008,3394415,13.416235850249794,638,57973,841,22.913504711313475,0.3324005565041422
TX_3,TX,306508,4089898,13.34352773826458,1215,73191,1997,23.878985214089028,0.6515327495530296
WI_1,WI,281120,3361591,11.957850739897552,690,54578,448,19.414484917472965,0.1593625498007968
TX_1,TX,313803,3715791,11.841158306325942,1676,70859,1508,22.580727399036974,0.48055627256590916
CA_4,CA,305891,2768582,9.050877600190917,567,64635,258,21.130075745935645,0.08434376951266954
