month,observed_weeks,mean_units_per_active_series,mean_total_weekly_units,mean_active_series,month_name
1,22,15.40763577241289,164934.68181818182,11295.181818181818,Jan
2,25,15.852950487964305,166018.04,11063.08,Feb
3,25,15.28293425081889,163216.28,11160.08,Mar
4,22,15.455413311428545,157792.31818181818,10574.045454545454,Apr
5,21,14.988436407712053,153984.85714285713,10652.52380952381,May
6,22,15.77580575373446,170964.31818181818,11218.545454545454,Jun
7,22,16.064728307932498,171307.4090909091,11006.818181818182,Jul
8,22,15.835454436807561,170435.77272727274,11152.772727272728,Aug
9,22,15.609183713924875,172892.13636363635,11418.09090909091,Sep
10,22,15.261640730006256,163788.95454545456,11165.0,Oct
11,21,14.108797172238424,158255.0,11647.952380952382,Nov
12,23,14.298800450036532,159940.5652173913,11641.0,Dec
