week_start,total_units,mean_units_per_series,active_series
2011-01-31,145851,25.2468409208932,5777
2011-02-07,141740,23.983079526226735,5910
2011-02-14,120641,20.08340269685367,6007
2011-02-21,114126,18.626734127631792,6127
2011-02-28,130587,20.81399426203379,6274
2011-03-07,128823,20.26156023906889,6358
2011-03-14,122932,19.127431149836628,6427
2011-03-21,111979,17.310094295872624,6469
2011-03-28,121015,18.42213426701172,6569
2011-04-04,129467,19.471649872161226,6649
2011-04-11,123350,18.287620459599705,6745
2011-04-18,110804,16.350007377895825,6777
2011-04-25,100337,14.630650335374744,6858
2011-05-02,114551,16.599188523402404,6901
2011-05-09,122750,17.707732256203116,6932
2011-05-16,103543,14.876867816091954,6960
2011-05-23,102581,14.646059394631639,7004
2011-05-30,122670,17.466894489534386,7023
2011-06-06,134305,19.074705297542963,7041
2011-06-13,124439,17.66595684270301,7044
2011-06-20,115785,16.421075024819174,7051
2011-06-27,123605,17.47808257918552,7072
2011-07-04,138547,19.56049696456304,7083
2011-07-11,132820,18.71231332769794,7098
2011-07-18,122688,17.24599381501265,7114
2011-07-25,114079,15.901728463897408,7174
2011-08-01,135733,18.758015478164733,7236
2011-08-08,141460,19.35951827015191,7307
2011-08-15,136544,18.607795039520305,7338
2011-08-22,122144,16.627280152463925,7346
2011-08-29,126182,17.148953519978257,7358
2011-09-05,142491,19.286816459122903,7388
2011-09-12,136701,18.433252427184467,7416
2011-09-19,128815,17.28364417013283,7453
2011-09-26,139181,18.61953177257525,7475
2011-10-03,154718,20.631817575676756,7499
2011-10-10,156503,20.81156914893617,7520
2011-10-17,133759,17.76112070110211,7531
2011-10-24,127534,16.914323607427054,7540
2011-10-31,145009,19.198861379584272,7553
2011-11-07,150421,19.870673712021137,7570
2011-11-14,138248,18.236116607307743,7581
2011-11-21,127715,16.793556870479946,7605
2011-11-28,137657,18.06759417246358,7619
2011-12-05,154699,20.267129568976813,7633
2011-12-12,154958,20.248007317391874,7653
2011-12-19,128760,16.76344226012238,7681
2011-12-26,135579,17.58254441706653,7711
2012-01-02,161869,20.827200205867214,7772
2012-01-09,158509,20.269693094629154,7820
2012-01-16,146295,18.57006854531607,7878
2012-01-23,134563,16.843534860433095,7989
2012-01-30,164269,20.434009205125015,8039
2012-02-06,170734,21.18550688671051,8059
2012-02-13,150875,18.66571817394532,8083
2012-02-20,144322,17.795561035758322,8110
2012-02-27,157710,19.158163265306122,8232
2012-03-05,172675,20.721828873154926,8333
2012-03-12,165558,19.742189363224423,8386
2012-03-19,151193,17.945756676557863,8425
2012-03-26,149383,17.661740364152283,8458
2012-04-02,184208,21.648607356916205,8509
2012-04-09,166387,19.46046783625731,8550
2012-04-16,147638,17.201211697541652,8583
2012-04-23,143872,16.487737795095118,8726
2012-04-30,171789,19.356507042253522,8875
2012-05-07,178370,19.969771607702643,8932
2012-05-14,174228,19.43207673432969,8966
2012-05-21,160175,17.74792243767313,9025
2012-05-28,177703,19.668289983397898,9035
2012-06-04,194344,21.45787788450922,9057
2012-06-11,194962,21.466857520369963,9082
2012-06-18,172830,18.996482743460103,9098
2012-06-25,165488,18.117801620319685,9134
2012-07-02,197879,21.546058362369337,9184
2012-07-09,186547,20.2153229302124,9228
2012-07-16,168014,18.15778666378472,9253
2012-07-23,156513,16.840219496449322,9294
2012-07-30,180846,19.37289769683985,9335
2012-08-06,193076,20.63659683625481,9356
2012-08-13,187765,20.034677763551002,9372
2012-08-20,163653,17.450735764555343,9378
2012-08-27,165670,17.650756445770295,9386
2012-09-03,187183,19.883471425536435,9414
2012-09-10,177713,18.845493107104986,9430
2012-09-17,157629,16.659162967660116,9462
2012-09-24,152076,16.05701615457713,9471
2012-10-01,178774,18.846088973223697,9486
2012-10-08,173897,18.295318253550764,9505
2012-10-15,149007,15.285904800984817,9748
2012-10-22,141171,14.292902703249975,9877
2012-10-29,161248,16.210716799034884,9947
2012-11-05,177548,17.81001103420604,9969
2012-11-12,163336,16.36305349629333,9982
2012-11-19,142672,14.27148144443333,9997
2012-11-26,144117,14.36429781720323,10033
2012-12-03,176107,17.47613376997122,10077
2012-12-10,171475,16.981085363438304,10098
2012-12-17,170725,16.886745796241346,10110
2012-12-24,133845,13.206216082881106,10135
2012-12-31,178375,17.53071253071253,10175
2013-01-07,182465,17.794519212014823,10254
2013-01-14,165446,16.07832847424684,10290
2013-01-21,145573,14.11548530980316,10313
2013-01-28,161260,15.520692974013475,10390
2013-02-04,173354,16.568288253846887,10463
2013-02-11,183454,17.423686959825243,10529
2013-02-18,160674,15.159354656099632,10599
2013-02-25,168447,15.800300159459713,10661
2013-03-04,176103,16.40303651266766,10736
2013-03-11,176745,16.420011148272017,10764
2013-03-18,153994,14.258703703703704,10800
2013-03-25,161265,14.87410071942446,10842
2013-04-01,176786,16.25917410098409,10873
2013-04-08,173517,15.875297346752058,10930
2013-04-15,155104,14.119617660446062,10985
2013-04-22,139090,12.609010969087118,11031
2013-04-29,162132,14.661964188822571,11058
2013-05-06,169533,15.293910690121786,11085
2013-05-13,168410,15.120308852576764,11138
2013-05-20,153553,13.766630805092344,11154
2013-05-27,161525,14.445090323734574,11182
2013-06-03,186933,16.63993234822859,11234
2013-06-10,184665,16.401545430322408,11259
2013-06-17,167822,14.888396025550035,11272
2013-06-24,173297,15.273841001233915,11346
2013-07-01,200243,17.630128543757703,11358
2013-07-08,195079,17.136243851018975,11384
2013-07-15,176180,15.435430173471175,11414
2013-07-22,166204,14.490322580645161,11470
2013-07-29,179034,15.580367243930032,11491
2013-08-05,197651,17.172111207645525,11510
2013-08-12,190983,16.503888696854478,11572
2013-08-19,178977,15.405147185401962,11618
2013-08-26,184269,15.796742391770254,11665
2013-09-02,212307,18.147448499871786,11699
