feature,standardized_coefficient,absolute_coefficient
sales_roll_mean_8,4.7254977,4.7254977
sales_roll_mean_4,4.711802,4.711802
sales_lag_4,4.526952,4.526952
sales_lag_2,4.524823,4.524823
sales_lag_1,4.500127,4.500127
sales_lag_8,4.342038,4.342038
sales_roll_std_8,4.013484,4.013484
sales_roll_std_4,3.7923937,3.7923937
snap_days,0.44218263,0.44218263
has_snap,0.42847255,0.42847255
price_change_pct,-0.2926396,0.2926396
zero_weeks_last_4,-0.14593178,0.14593178
year,-0.114800796,0.114800796
price_lag_1,0.08611119,0.08611119
week_of_year,-0.079976276,0.079976276
sell_price_mean,0.078698516,0.078698516
month,-0.053238265,0.053238265
quarter,-0.048360012,0.048360012
has_event,0.02083829,0.02083829
event_days,0.0017569903,0.0017569903
