check,status,details
expected train rows,PASS,2888944
expected validation rows,PASS,57478
train split only,PASS,['train']
validation split only,PASS,['validation']
chronological split order,PASS,train max < validation min
target excluded from features,PASS,weekly_units_sold
model inputs contain no nulls,PASS,train and validation
finite predictions,PASS,57478
non-negative predictions,PASS,non-negative training target
fitted tree count,PASS,40
feature importance total,PASS,1.000000
store row accounting,PASS,57478
department row accounting,PASS,57478
test file not loaded,PASS,train.parquet + validation.parquet
MLflow run finished,PASS,FINISHED
MLflow model reload reproduces MAE,PASS,4.269810
