feature,importance
sales_lag_1,0.5040941589748839
sales_roll_mean_4,0.3515476345008031
sales_roll_mean_8,0.0664777472113103
sales_lag_2,0.049292311067175854
sales_roll_std_4,0.004964383814608602
sales_roll_std_8,0.004301165878850637
sales_lag_4,0.004214519819587836
snap_days,0.0031429674763997473
sales_lag_8,0.002936395372675073
price_lag_1,0.002202772267357715
sell_price_mean,0.0020969515544151116
week_of_year,0.001427806737453892
zero_weeks_last_4,0.0006441860826869477
year,0.0006139283507460118
has_snap,0.0005711879300935804
price_change_pct,0.00047794774595213486
month,0.0004773997516946328
event_days,0.00023678657324212923
has_event,0.00017933949186973265
quarter,0.00010040939819314897
